11:52:39.892 [main] INFO  com.cs.dms.Application - org.springframework.boot.actuate.autoconfigure.web.mappings.MappingsEndpointAutoConfiguration$ServletWebConfiguration$SpringMvcConfiguration
11:52:39.892 [main] INFO  com.cs.dms.Application - org.springframework.boot.actuate.autoconfigure.web.server.ManagementContextAutoConfiguration
11:52:39.892 [main] INFO  com.cs.dms.Application - org.springframework.boot.actuate.autoconfigure.web.server.ManagementContextAutoConfiguration$SameManagementContextConfiguration
11:52:39.892 [main] INFO  com.cs.dms.Application - org.springframework.boot.actuate.autoconfigure.web.server.ManagementContextAutoConfiguration$SameManagementContextConfiguration$EnableSameManagementContextConfiguration
11:52:39.892 [main] INFO  com.cs.dms.Application - org.springframework.boot.actuate.autoconfigure.web.servlet.ServletManagementContextAutoConfiguration
11:52:39.892 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.AutoConfigurationPackages
11:52:39.892 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.aop.AopAutoConfiguration
11:52:39.892 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.aop.AopAutoConfiguration$CglibAutoProxyConfiguration
11:52:39.892 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.condition.BeanTypeRegistry
11:52:39.892 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.context.ConfigurationPropertiesAutoConfiguration
11:52:39.892 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.context.PropertyPlaceholderAutoConfiguration
11:52:39.892 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.dao.PersistenceExceptionTranslationAutoConfiguration
11:52:39.892 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.data.jpa.JpaRepositoriesAutoConfiguration
11:52:39.893 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.data.web.SpringDataWebAutoConfiguration
11:52:39.893 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.http.HttpMessageConvertersAutoConfiguration
11:52:39.893 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.http.HttpMessageConvertersAutoConfiguration$StringHttpMessageConverterConfiguration
11:52:39.893 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.http.JacksonHttpMessageConvertersConfiguration
11:52:39.893 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.http.JacksonHttpMessageConvertersConfiguration$MappingJackson2HttpMessageConverterConfiguration
11:52:39.893 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.http.codec.CodecsAutoConfiguration
11:52:39.893 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.http.codec.CodecsAutoConfiguration$JacksonCodecConfiguration
11:52:39.893 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.info.ProjectInfoAutoConfiguration
11:52:39.893 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory
11:52:39.893 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration
11:52:39.893 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$Jackson2ObjectMapperBuilderCustomizerConfiguration
11:52:39.893 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperBuilderConfiguration
11:52:39.893 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperConfiguration
11:52:39.893 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$ParameterNamesModuleConfiguration
11:52:39.893 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.jdbc.DataSourceTransactionManagerAutoConfiguration
11:52:39.893 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.jdbc.DataSourceTransactionManagerAutoConfiguration$DataSourceTransactionManagerConfiguration
11:52:39.893 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.jdbc.JdbcTemplateAutoConfiguration
11:52:39.893 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.jdbc.JdbcTemplateAutoConfiguration$JdbcTemplateConfiguration
11:52:39.894 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.jdbc.JdbcTemplateAutoConfiguration$NamedParameterJdbcTemplateConfiguration
11:52:39.894 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.jersey.JerseyAutoConfiguration
11:52:39.894 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.jersey.JerseyAutoConfiguration$JacksonResourceConfigCustomizer
11:52:39.894 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.jmx.JmxAutoConfiguration
11:52:39.894 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.security.reactive.ReactiveSecurityAutoConfiguration
11:52:39.894 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.transaction.TransactionAutoConfiguration
11:52:39.894 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.transaction.TransactionAutoConfiguration$TransactionTemplateConfiguration
11:52:39.894 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.transaction.jta.JtaAutoConfiguration
11:52:39.894 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.validation.ValidationAutoConfiguration
11:52:39.894 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.web.client.RestTemplateAutoConfiguration
11:52:39.894 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.web.embedded.EmbeddedWebServerFactoryCustomizerAutoConfiguration
11:52:39.894 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.web.embedded.EmbeddedWebServerFactoryCustomizerAutoConfiguration$TomcatWebServerFactoryCustomizerConfiguration
11:52:39.894 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.web.servlet.DispatcherServletAutoConfiguration
11:52:39.894 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.web.servlet.DispatcherServletAutoConfiguration$DispatcherServletConfiguration
11:52:39.894 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.web.servlet.DispatcherServletAutoConfiguration$DispatcherServletRegistrationConfiguration
11:52:39.894 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.web.servlet.HttpEncodingAutoConfiguration
11:52:39.894 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.web.servlet.MultipartAutoConfiguration
11:52:39.894 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.web.servlet.ServletWebServerFactoryAutoConfiguration
11:52:39.894 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.web.servlet.ServletWebServerFactoryConfiguration$EmbeddedTomcat
11:52:39.894 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration
11:52:39.894 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration
11:52:39.894 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter
11:52:39.894 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter$FaviconConfiguration
11:52:39.895 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.websocket.servlet.WebSocketServletAutoConfiguration
11:52:39.895 [main] INFO  com.cs.dms.Application - org.springframework.boot.autoconfigure.websocket.servlet.WebSocketServletAutoConfiguration$TomcatWebSocketConfiguration
11:52:39.895 [main] INFO  com.cs.dms.Application - org.springframework.boot.context.properties.ConfigurationBeanFactoryMetadata
11:52:39.895 [main] INFO  com.cs.dms.Application - org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor
11:52:39.895 [main] INFO  com.cs.dms.Application - org.springframework.context.annotation.internalAutowiredAnnotationProcessor
11:52:39.895 [main] INFO  com.cs.dms.Application - org.springframework.context.annotation.internalCommonAnnotationProcessor
11:52:39.895 [main] INFO  com.cs.dms.Application - org.springframework.context.annotation.internalConfigurationAnnotationProcessor
11:52:39.895 [main] INFO  com.cs.dms.Application - org.springframework.context.annotation.internalPersistenceAnnotationProcessor
11:52:39.895 [main] INFO  com.cs.dms.Application - org.springframework.context.annotation.internalRequiredAnnotationProcessor
11:52:39.895 [main] INFO  com.cs.dms.Application - org.springframework.context.event.internalEventListenerFactory
11:52:39.895 [main] INFO  com.cs.dms.Application - org.springframework.context.event.internalEventListenerProcessor
11:52:39.895 [main] INFO  com.cs.dms.Application - org.springframework.data.web.config.ProjectingArgumentResolverRegistrar
11:52:39.895 [main] INFO  com.cs.dms.Application - org.springframework.data.web.config.SpringDataJacksonConfiguration
11:52:39.895 [main] INFO  com.cs.dms.Application - org.springframework.data.web.config.SpringDataWebConfiguration
11:52:39.895 [main] INFO  com.cs.dms.Application - org.springframework.orm.jpa.SharedEntityManagerCreator#0
11:52:39.895 [main] INFO  com.cs.dms.Application - org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration
11:52:39.895 [main] INFO  com.cs.dms.Application - org.springframework.transaction.config.internalTransactionAdvisor
